Time,SPL
2024-11-15 19:41:50,47.39270782470703
2024-11-15 19:41:51,46.102439880371094
2024-11-15 19:41:52,46.08247756958008
2024-11-15 19:41:53,46.3863410949707
2024-11-15 19:41:54,45.85059356689453
2024-11-15 19:41:55,46.0003776550293
2024-11-15 19:41:56,45.92530822753906
2024-11-15 19:41:57,46.139888763427734
2024-11-15 19:41:58,45.93693542480469
2024-11-15 19:41:59,46.16362762451172
2024-11-15 19:42:00,46.11228942871094
2024-11-15 19:42:01,46.590179443359375
2024-11-15 19:42:02,46.63563919067383
2024-11-15 19:42:03,46.00199890136719
2024-11-15 19:42:04,46.10618591308594
2024-11-15 19:42:05,46.27433395385742
2024-11-15 19:42:06,46.88252258300781
2024-11-15 19:42:07,46.66496276855469
2024-11-15 19:42:08,47.63856506347656
2024-11-15 19:42:09,46.08714294433594
2024-11-15 19:42:10,45.48887634277344
2024-11-15 19:42:11,45.35423278808594
2024-11-15 19:42:12,45.48353576660156
2024-11-15 19:42:13,45.35762023925781
2024-11-15 19:42:14,45.62305450439453
2024-11-15 19:42:15,45.14326477050781
2024-11-15 19:42:16,45.25087356567383
2024-11-15 19:42:17,45.28116989135742
2024-11-15 19:42:18,45.24175262451172
2024-11-15 19:42:19,45.223175048828125
2024-11-15 19:42:20,45.25813293457031
2024-11-15 19:42:21,45.29736328125
2024-11-15 19:42:22,45.30713653564453
2024-11-15 19:42:23,45.31626892089844
2024-11-15 19:42:24,45.32861328125
2024-11-15 19:42:25,45.6447639465332
2024-11-15 19:42:26,45.62683868408203
2024-11-15 19:42:27,45.59893798828125
2024-11-15 19:42:28,45.6941032409668
2024-11-15 19:42:29,45.32286071777344
2024-11-15 19:42:30,45.3650016784668
2024-11-15 19:42:31,45.50467300415039
2024-11-15 19:42:32,45.41133117675781
2024-11-15 19:42:33,45.27378845214844
2024-11-15 19:42:34,46.965919494628906
2024-11-15 19:42:35,45.39118957519531
2024-11-15 19:42:36,45.31456756591797
2024-11-15 19:42:37,48.112281799316406
2024-11-15 19:42:38,45.081565856933594
2024-11-15 19:42:39,50.70595932006836
2024-11-15 19:42:40,46.25746536254883
2024-11-15 19:42:41,48.23414611816406
2024-11-15 19:42:42,45.12275695800781
